,Smiles
0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
1,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12
2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@@H]12)c1csc(N)n1.[Na+].[Na+]
3,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](N)CC(C)C)c(C)c34)ccc2[nH]1
4,Nc1cccnc1Sc1ccc(Cl)cc1
5,CC(C)C(=O)Nc1ccc(C(=O)NNC(=O)CCCOc2ccc(Cl)cc2Cl)cc1
6,COc1c2c(nc3ccccc13)O[C@@H]([C@@](C)(O)CO)C2
7,COC(=O)C(O)(c1c(C)[nH]c2ccccc12)C(F)(F)F
8,CC(=O)Nc1ccc(O)cc1
9,Cc1nc(N2CCN(S(=O)(=O)c3ccccc3)CC2)c2c3c(sc2n1)CC(C)CC3
10,O=C1Nc2ccc([N+](=O)[O-])cc2C1(O)N1CCCCCC1
11,COc1ccc(/N=C/c2ccc(CNS(=O)(=O)c3ccc(Cl)cc3)o2)cc1
12,O=C(Nc1cccc(F)c1)N1CCCC2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)C1
13,O=C(COc1ccc(/C=N/NC(=O)c2ccccc2)cc1)Nc1ccc([N+](=O)[O-])cc1
14,CN(C)c1cc(-c2cccc(NS(C)(=O)=O)c2)ncn1
15,CS(=O)(=O)Nc1cccc(-c2ccc3ncnc(NC4CC4)c3c2)c1
16,O=C(Nc1nccs1)N1CCC(Cc2c[nH]cn2)CC1
17,COc1ncc2nc(C)c(=O)n(Cc3ccc(F)cc3)c2n1
18,O=C(CCOc1ccc(C(=O)N2CCNCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1
19,N=C(N)NC(=N)Nc1ccccc1
20,O=C(CCc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1
21,O=C(CCOc1ccc(CN2CCCCC2)cc1)N1CCC(Cc2c[nH]cn2)CC1
22,Cc1ccc(S(=O)(=O)Oc2cc(N)c3c(n2)CCC3)cc1
23,c1cnc(-c2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)nc1
24,O=C(NCC1CCCO1)C1CCC(=O)N1CCc1ccccc1
25,c1nc(CC2CCN(CCCOc3ccc(CN4CCC(N5CCCCC5)CC4)cc3)CC2)c[nH]1
26,O=C(c1ccc(OCCCN2CCC(Cc3c[nH]cn3)CC2)cc1)N1CCCCC1
27,NC(=O)C1CCN(Cc2ccc(OCCCN3CCC(Cc4c[nH]cn4)CC3)cc2)CC1
28,CCOc1c2ccc(C(=O)NCc3ccc(OC)cc3)cc2nn1CCOC
29,CN(C)CCCOc1ccc(CN2CCCCC2)cc1
30,Cc1ccc(Nc2nc(Cl)nc(N(C)C#N)n2)cc1
31,Cc1noc(C)c1-c1cncnc1N(C)Cc1ccco1
32,O=[N+]([O-])c1ccc(N2CCNCC2)cc1NC1CC1
33,C[C@@H](C[C@H](N)C(=O)O)C(=O)O
34,O=S(=O)(c1cccc2cnccc12)N1CCNCC1
35,Cc1noc(C)c1-c1nccc(N2CCNCC2)n1
36,N#Cc1cccc(NC(=O)N2CCC3(CC2)CCN(C(=O)c2cnccn2)CC3)c1
37,O=S(=O)(O)c1ccc2cc(/N=N\c3cc(S(=O)(=O)O)c4cccnc4c3O)ccc2c1
38,O=C(O)c1nnsc1-c1ccc(-c2snnc2C(=O)O)cc1
39,CCOc1ccc(C(CC(=O)O)NC(=O)COc2ccccc2)cc1
40,O=C1C2CCN(CC2)C1(CO)CO
41,CSc1nnc(-c2ccc(Cl)cc2Cl)o1
42,OC[C@@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@@H](O)[C@H]1O
43,COc1ccc(Cn2nnnc2C(c2ccccc2Cl)N2CCC(C(N)=O)CC2)cc1
44,N=C(N)N1CCc2ccccc2C1.N=C(N)N1CCc2ccccc2C1.O=S(=O)(O)O
45,Cc1noc(C)c1COc1ccc(C(=O)NCC2CCCO2)cc1
46,O=S(=O)(C=C(c1ccccc1)c1ccccc1)c1ccccc1
47,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12
48,Cc1cccc(NC(=O)c2cccc(N3C(=O)C4C5CCC(C5)C4C3=O)c2)c1C
49,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1
50,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
